GROUP_SET,GROUP_ID,GROUP_NAME,player_1,player_2,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,PIS,edge_strength
Lineups,-1626162-1630178-,K. Oubre Jr. - T. Maxey,K. Oubre Jr.,T. Maxey,1610612755,PHI,48,19,29,0.396,1464.3016666666667,1238,2660,0.465,411,1122,0.366,552,698,0.791,297,866,1163,704,386,313,121,154,573,592,3439,-86,545,871,5033,3262,67,84,73,2295,70,66,2047,52,57,2125,92,120,109,115,5235,22,151,5274,5269,60,80,5071,0.2488216795036542,1.8138643639190604
Lineups,-203954-1626162-,J. Embiid - K. Oubre Jr.,J. Embiid,K. Oubre Jr.,1610612755,PHI,17,7,10,0.412,395.96,318,708,0.449,86,293,0.294,164,186,0.882,72,263,335,207,116,92,35,32,151,172,886,-14,2214,2213,3223,3130,933,1021,981,3024,1220,1011,4158,776,882,506,1212,953,1019,991,4356,660,1045,4107,4345,825,1003,3644,0.2996514799474695,1.7930651693133026
Lineups,-1630215-1641737-,J. Butler - A. Bona,J. Butler,A. Bona,1610612755,PHI,20,2,18,0.1,311.25333333333333,269,577,0.466,84,245,0.343,100,136,0.735,66,225,291,172,110,68,52,30,126,108,722,-15,1941,3541,4350,4706,1210,1180,1199,2258,1247,1202,2914,1299,1250,3668,1325,1136,1167,1178,4297,918,708,4020,4158,1333,1202,3701,0.30778786840301575,1.7678765212284764
Lineups,-1630178-1642348-,T. Maxey - J. Edwards,T. Maxey,J. Edwards,1610612755,PHI,24,9,15,0.375,464.25666666666666,426,872,0.489,149,367,0.406,154,194,0.794,92,261,353,273,106,86,31,50,187,171,1155,-32,1622,1851,4016,3357,792,733,770,1259,666,771,814,832,852,2050,933,960,962,717,4255,710,1196,4573,4563,830,742,4385,0.28723335511247367,1.7643565120691744
Lineups,-203486-1626164-,M. Plumlee - D. Booker,M. Plumlee,D. Booker,1610612756,PHX,65,32,33,0.492,847.4616666666667,742,1545,0.48,268,688,0.39,319,404,0.79,169,575,744,518,211,140,77,75,301,353,2071,112,151,350,5154,2618,306,306,317,1590,248,272,1229,264,265,2158,384,314,332,255,4901,321,388,4937,4978,260,293,245,0.524153501534976,3.534589776759913
Lineups,-1628420-1642345-,M. Morris - O. Ighodaro,M. Morris,O. Ighodaro,1610612756,PHX,34,16,18,0.471,231.33166666666668,199,418,0.476,57,174,0.328,93,114,0.816,50,157,207,124,59,39,31,22,79,86,548,63,1012,1063,4350,2716,1590,1557,1617,1792,1714,1625,3481,1401,1471,1392,1690,1576,1609,1582,3517,1568,1196,3576,3544,1626,1558,455,0.6393417820013113,3.48324012613082
Lineups,-1626164-1628420-,D. Booker - M. Morris,D. Booker,M. Morris,1610612756,PHX,28,14,14,0.5,206.71,176,377,0.467,61,168,0.363,83,98,0.847,44,149,193,118,51,22,29,28,77,77,496,43,1343,1247,3884,2195,1737,1710,1741,2203,1624,1681,2180,1552,1672,803,1836,1624,1696,1638,3307,2291,1274,3921,3506,1772,1677,607,0.587296212084563,3.1338964982685176
Lineups,-201142-1631221-,K. Durant - C. Gillespie,K. Durant,C. Gillespie,1610612756,PHX,18,9,9,0.5,217.85833333333332,205,393,0.522,76,153,0.497,76,88,0.864,59,138,197,138,62,29,14,21,85,83,562,41,2108,1851,3011,2195,1674,1525,1689,497,1364,1803,317,1662,1791,650,1479,1737,1672,1454,3576,1966,2166,3515,3619,1676,1529,634,0.5671116551275676,3.0558384165419588
Lineups,-201142-203486-,K. Durant - M. Plumlee,K. Durant,M. Plumlee,1610612756,PHX,55,30,25,0.545,667.9616666666667,590,1179,0.5,211,514,0.411,249,309,0.806,123,446,569,410,205,104,66,53,243,272,1640,48,375,406,4814,2012,472,474,516,788,402,485,749,435,454,1640,652,497,527,402,4880,543,491,4632,4805,439,455,548,0.43804908964336764,2.8498276842636177
Lineups,-1626220-1628960-,R. O'Neale - G. Allen,R. O'Neale,G. Allen,1610612756,PHX,54,26,28,0.481,654.5683333333334,555,1148,0.483,222,562,0.395,292,366,0.798,111,438,549,393,176,100,63,68,238,295,1624,43,395,536,4989,2653,491,524,537,1445,362,413,1098,318,331,1935,744,510,557,434,4763,574,527,4867,4792,378,464,607,0.4347903580222081,2.8198339730132043
